id_busca,nome,hidden_layers,dropout,learning_rate,batch_size,patience,fold,n_train,n_val,train_start,train_end,val_start,val_end,rmse_delta_lon,rmse_delta_lat,rmse_medio,mae_delta_lon,mae_delta_lat,mae_medio,r2_delta_lon,r2_delta_lat,best_epoch,best_val_loss_scaled
3,2camadas_128-64_drop0.0_lr0.002_batch64,"[128, 64]",0.0,0.002,64,10,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.1644718260091174,0.1699735167528893,0.16722267138100333,0.12098376483973282,0.11852998532924194,0.11975687508448737,-0.002335856738518327,0.18179072368123228,8,0.7743900141765162
3,2camadas_128-64_drop0.0_lr0.002_batch64,"[128, 64]",0.0,0.002,64,10,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.1485228634370572,0.131125020913928,0.1398239421754926,0.11176081100980942,0.09950907283339602,0.10563494192160272,0.11567688114223529,0.305836128617881,2,0.5499713652390094
4,2camadas_16-16_drop0.0_lr0.0005_batch32,"[16, 16]",0.0,0.0005,32,20,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.20465561989646416,0.179933716163335,0.19229466802989958,0.1497743273892457,0.12909566151857643,0.13943499445391105,0.1422656631134449,-0.02283924500675738,142,0.9218325112642867
4,2camadas_16-16_drop0.0_lr0.0005_batch32,"[16, 16]",0.0,0.0005,32,20,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.18658816866430958,0.12754934651163452,0.15706875758797206,0.1350452147104354,0.08851461295273344,0.11177991383158442,0.08422033151123143,0.29573273543561585,30,0.6113459742986239
4,2camadas_16-16_drop0.0_lr0.0005_batch32,"[16, 16]",0.0,0.0005,32,20,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.15982168822409334,0.1728412693950178,0.16633147880955557,0.11505883185371689,0.1179876019581971,0.11652321690595699,0.05354130303645466,0.1539485516319048,32,0.7719988822937012
4,2camadas_16-16_drop0.0_lr0.0005_batch32,"[16, 16]",0.0,0.0005,32,20,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.15231576553933693,0.132853569367141,0.14258466745323894,0.1162176119784602,0.09951868960758001,0.1078681507930201,0.06993336061092714,0.2874139440668335,16,0.5717571648684415
5,2camadas_64-64_drop0.0_lr0.002_batch32,"[64, 64]",0.0,0.002,32,20,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.20332438802310487,0.17691979263589278,0.19012209032949884,0.14971309673569524,0.1257869769229196,0.13775003682930742,0.15338805096761454,0.011139276998628045,12,0.9015948611698793
5,2camadas_64-64_drop0.0_lr0.002_batch32,"[64, 64]",0.0,0.002,32,20,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.18693164217426606,0.12875223198838162,0.15784193708132382,0.13070270942978976,0.08924145608824909,0.10997208275901943,0.08084567416590527,0.28238656739521184,3,0.617034028519641
5,2camadas_64-64_drop0.0_lr0.002_batch32,"[64, 64]",0.0,0.002,32,20,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.16788144673456176,0.1729026156172481,0.17039203117590493,0.12408845405385192,0.12039026999228816,0.12223936202307004,-0.04432492816597211,0.15334787019625906,4,0.8035919801476076
5,2camadas_64-64_drop0.0_lr0.002_batch32,"[64, 64]",0.0,0.002,32,20,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.14623835049672848,0.1290290616886224,0.13763370609267545,0.10803783888189074,0.09510074592462266,0.1015692924032567,0.14267219061654035,0.32785040126491516,4,0.5328686995939775
6,2camadas_128-64_drop0.3_lr0.0005_batch64,"[128, 64]",0.3,0.0005,64,20,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.19999580470654335,0.17653143649809644,0.18826362060231988,0.14410037500608197,0.1255614865664689,0.13483093078627545,0.18088058961970177,0.015475802988842102,65,0.8834242827436897
6,2camadas_128-64_drop0.3_lr0.0005_batch64,"[128, 64]",0.3,0.0005,64,20,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.18147115531815888,0.13042448752442845,0.15594782142129365,0.12909611056733666,0.09054812461491048,0.10982211759112356,0.13376046435576894,0.26362454468371366,16,0.6007075211504004
6,2camadas_128-64_drop0.3_lr0.0005_batch64,"[128, 64]",0.3,0.0005,64,20,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.16637658963140137,0.17004164627783522,0.1682091179546183,0.12144720332110265,0.11837302013670521,0.11991011172890392,-0.025686582639729227,0.1811346758193605,45,0.7822127268486416
6,2camadas_128-64_drop0.3_lr0.0005_batch64,"[128, 64]",0.3,0.0005,64,20,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.14731971223977644,0.13150775496624356,0.13941373360301001,0.1108728616493335,0.09890948732268762,0.10489117448601057,0.1299462654351199,0.3017778964109701,9,0.5469116211430101
7,2camadas_32-32_drop0.0_lr0.0005_batch128,"[32, 32]",0.0,0.0005,128,15,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.20560037344900764,0.1811240518371361,0.19336221264307185,0.1467563058215367,0.12965305581934541,0.13820468082044107,0.13432825128336479,-0.03641701434242717,90,0.9320076248618994
7,2camadas_32-32_drop0.0_lr0.0005_batch128,"[32, 32]",0.0,0.0005,128,15,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.18586624921415124,0.1324355081215747,0.15915087866786298,0.13258221415533775,0.09230669317312716,0.11244445366423245,0.09129302220810886,0.2407410662047701,51,0.6259339320790637
7,2camadas_32-32_drop0.0_lr0.0005_batch128,"[32, 32]",0.0,0.0005,128,15,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.16848445477378016,0.1727560230498093,0.17062023891179473,0.12115795818935796,0.11979508443321761,0.12047652131128778,-0.05184055665825338,0.1547829010715729,63,0.8051958803049067
7,2camadas_32-32_drop0.0_lr0.0005_batch128,"[32, 32]",0.0,0.0005,128,15,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.14950426481711793,0.13245931819971185,0.1409817915084149,0.11258306080717306,0.09871234065961351,0.10564770073339329,0.10395150417286814,0.2916369549430219,27,0.5591669082641602
8,2camadas_32-32_drop0.2_lr0.0005_batch32,"[32, 32]",0.2,0.0005,32,15,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.2056280032694877,0.17482216507320156,0.19022508417134465,0.1482253787785892,0.12644169710032463,0.1373335379394569,0.1340955672492169,0.03444887809468056,48,0.9038072837872452
8,2camadas_32-32_drop0.2_lr0.0005_batch32,"[32, 32]",0.2,0.0005,32,15,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.1876198761777226,0.12655954980806405,0.15708971299289332,0.13272016253245422,0.08645624638119989,0.10958820445682706,0.07406503738814785,0.3066207050309283,40,0.6121508302269402
8,2camadas_32-32_drop0.2_lr0.0005_batch32,"[32, 32]",0.2,0.0005,32,15,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.16545216483033215,0.16930809643185984,0.167380130631096,0.12144666921342427,0.11652418243771138,0.11898542582556783,-0.014320368237648262,0.18818451213053466,36,0.7746684904565516
8,2camadas_32-32_drop0.2_lr0.0005_batch32,"[32, 32]",0.2,0.0005,32,15,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.15349542410512818,0.13158693500456636,0.14254117955484727,0.11577999636744012,0.098119836831031,0.10694991659923556,0.05547117105484234,0.3009368525288746,15,0.5712726012734343
