name,timestamp_prev,timestamp_curr,lon_prev,lat_prev,lon_curr,lat_curr,delta_lon,delta_lat,event,count,area_km2,tb_min,tb_mean,tb_std,touching_left,touching_right,touching_up,touching_down,dt_horas,timestamp_next,target_delta_lon,target_delta_lat,dt_target_horas,log_area_km2,log_count,pred_delta_lon,pred_delta_lat,obs_delta_lon,obs_delta_lat,pred_next_lon,pred_next_lat,obs_next_lon,obs_next_lat,erro_delta_lon,erro_delta_lat,abs_erro_delta_lon,abs_erro_delta_lat
1e961e2a-58dd-4755-a603-b8236857f34e,2011-06-27 04:00:00,2011-06-27 05:00:00,-65.38570558460924,-5.778989968868904,-66.14870382164031,-5.49772117467052,-0.76299823703107,0.2812687941983833,CONTINUITY,502,8032.0,203.97000122070312,216.3016372011952,6.960304776583548,False,False,False,False,1.0,2011-06-27 06:00:00,-0.3036680989813618,0.0969568827358848,1.0,8.991313336173812,6.220590170099739,-0.3335443,0.11962902,-0.3036680989813618,0.0969568827358848,-66.48224813554793,-5.378092156661811,-66.45237192062167,-5.400764291934635,0.02987621492626147,-0.022672135272824148,0.02987621492626147,0.022672135272824148
1e961e2a-58dd-4755-a603-b8236857f34e,2011-06-27 05:00:00,2011-06-27 06:00:00,-66.14870382164031,-5.49772117467052,-66.45237192062167,-5.400764291934635,-0.3036680989813618,0.0969568827358848,CONTINUITY,686,10976.0,206.1199951171875,219.7213921282799,5.625833004824749,False,False,False,False,1.0,2011-06-27 07:00:00,-0.3704095110816894,0.1436781128076427,1.0,9.303557453687317,6.532334292222349,-0.23058069,0.064190954,-0.3704095110816894,0.1436781128076427,-66.68295260814456,-5.33657333796468,-66.82278143170336,-5.2570861791269925,-0.13982882355880122,0.07948715883768726,0.13982882355880122,0.07948715883768726
22174f63-6ac3-41e5-8525-97b5397308cc,2011-06-29 14:00:00,2011-06-29 15:00:00,-62.78619611511856,2.5626048974677187,-62.955432518653296,2.5779520783168186,-0.1692364035347324,0.0153471808490999,CONTINUITY,705,11280.0,214.20999145507807,223.32198581560283,4.201252673154084,False,False,False,False,1.0,2011-06-29 16:00:00,-0.093270167201318,-0.0378605659728976,1.0,9.33087517360492,6.559615237493242,-0.25757784,0.031592485,-0.093270167201318,-0.0378605659728976,-63.213010355166816,2.6095445628804077,-63.048702685854614,2.540091512343921,0.16430766931220128,-0.0694530505364867,0.16430766931220128,0.0694530505364867
22174f63-6ac3-41e5-8525-97b5397308cc,2011-06-29 15:00:00,2011-06-29 16:00:00,-62.955432518653296,2.5779520783168186,-63.04870268585461,2.540091512343921,-0.093270167201318,-0.0378605659728976,CONTINUITY,815,13040.0,213.84999084472656,224.35694018404908,3.430418479038737,False,False,False,False,1.0,2011-06-29 17:00:00,-0.5682759829362993,-0.5322313877746123,1.0,9.4758535196569,6.704414354964107,-0.24495971,0.011540357,-0.5682759829362993,-0.5322313877746123,-63.29366239788311,2.5516318693673985,-63.61697866879091,2.0078601245693086,-0.3233162709077959,-0.5437717447980899,0.3233162709077959,0.5437717447980899
223f00e7-4c2f-466e-b434-8afc22c20224,2011-06-27 02:00:00,2011-06-27 03:00:00,-53.66807354438477,2.543690840551624,-53.89253084867558,2.5834655550769416,-0.2244573042908086,0.039774714525318,CONTINUITY,547,8752.0,209.75999450683597,221.48056158592323,4.673774978429703,False,False,False,False,1.0,2011-06-27 04:00:00,0.0367573124953182,0.2231027865454229,1.0,9.077151777732436,6.306275286948016,-0.27411282,0.05679884,0.0367573124953182,0.2231027865454229,-54.16664366930088,2.6402643968812076,-53.85577353618026,2.8065683416223646,0.3108701331206234,0.16630394474115692,0.3108701331206234,0.16630394474115692
223f00e7-4c2f-466e-b434-8afc22c20224,2011-06-27 03:00:00,2011-06-27 04:00:00,-53.89253084867558,2.5834655550769416,-53.85577353618026,2.806568341622365,0.0367573124953182,0.2231027865454229,CONTINUITY,238,3808.0,212.3999938964844,220.65503545168067,5.098859616330819,False,False,False,False,1.0,2011-06-27 05:00:00,-0.24037789244246,0.1134386493163051,1.0,8.245121966478605,5.476463551931511,-0.16398548,0.08601216,-0.24037789244246,0.1134386493163051,-54.01975901207805,2.892580503890527,-54.09615142862272,2.92000699093867,-0.076392416544671,0.027426487048143322,0.076392416544671,0.027426487048143322
223f00e7-4c2f-466e-b434-8afc22c20224,2011-06-27 04:00:00,2011-06-27 05:00:00,-53.85577353618026,2.806568341622365,-54.09615142862272,2.9200069909386697,-0.24037789244246,0.1134386493163051,CONTINUITY,345,5520.0,213.84999084472656,222.44784873188405,4.595225931055136,False,False,False,False,1.0,2011-06-27 06:00:00,-0.1355762956700772,0.1477046624872717,1.0,8.616314282284044,5.846438775057724,-0.28489822,0.084698915,-0.1355762956700772,0.1477046624872717,-54.381049650115486,3.004705906420237,-54.231727724292796,3.0677116534259414,0.14932192582269013,0.06300574700570433,0.14932192582269013,0.06300574700570433
24d82fde-3204-4272-87ae-55d23c808a9a,2011-06-25 00:00:00,2011-06-25 01:00:00,-66.74266442215519,-4.525208282283752,-66.81403978627868,-4.553786382588228,-0.0713753641234973,-0.0285781003044762,CONTINUITY,372,5952.0,206.1199951171875,220.09765625,5.4473133513920535,False,False,False,False,1.0,2011-06-25 02:00:00,0.0884975485929686,-0.2099989984250054,1.0,8.69165057315339,5.921578419643816,-0.085875064,-0.02157856,0.0884975485929686,-0.2099989984250054,-66.89991485041328,-4.575364942240199,-66.72554223768572,-4.763785381013234,0.17437261272756638,-0.18842043877303455,0.17437261272756638,0.18842043877303455
24d82fde-3204-4272-87ae-55d23c808a9a,2011-06-25 01:00:00,2011-06-25 02:00:00,-66.81403978627868,-4.553786382588228,-66.72554223768572,-4.763785381013234,0.0884975485929686,-0.2099989984250054,CONTINUITY,437,6992.0,206.9499969482422,218.71242133867275,5.994317030701254,False,False,False,False,1.0,2011-06-25 03:00:00,0.0775943230720486,-0.150588857962731,1.0,8.852664927703866,6.082218910376446,-0.009894369,-0.087711014,0.0775943230720486,-0.150588857962731,-66.73543660685579,-4.851496394866784,-66.64794791461367,-4.914374238975965,0.08748869224211829,-0.06287784410918104,0.08748869224211829,0.06287784410918104
24d82fde-3204-4272-87ae-55d23c808a9a,2011-06-25 02:00:00,2011-06-25 03:00:00,-66.72554223768572,-4.763785381013234,-66.64794791461367,-4.914374238975965,0.0775943230720486,-0.150588857962731,CONTINUITY,547,8752.0,206.9499969482422,218.99985717550277,5.609295781159823,False,False,False,False,1.0,2011-06-25 04:00:00,-0.0382017412440802,-0.0584969256915224,1.0,9.077151777732436,6.306275286948016,-0.03160602,-0.060773917,-0.0382017412440802,-0.0584969256915224,-66.67955393315691,-4.975148155518495,-66.68614965585775,-4.972871164667487,-0.00659572270083679,0.0022769908510076597,0.00659572270083679,0.0022769908510076597
24d82fde-3204-4272-87ae-55d23c808a9a,2011-06-25 03:00:00,2011-06-25 04:00:00,-66.64794791461367,-4.914374238975965,-66.68614965585775,-4.972871164667487,-0.0382017412440802,-0.0584969256915224,CONTINUITY,606,9696.0,201.70999145507807,218.7076629537954,5.954352817108007,False,False,False,False,1.0,2011-06-25 05:00:00,-0.1270014014233282,-0.0822183080717575,1.0,9.179571838304549,6.408528791059498,-0.08196832,-0.03500641,-0.1270014014233282,-0.0822183080717575,-66.76811797825403,-5.0078775760411025,-66.81315105728108,-5.055089472739245,-0.04503307902704981,-0.04721189669814224,0.04503307902704981,0.04721189669814224
